u,g,r,i,z,redshift
18.72385,16.81796,15.9603,15.56801,15.235129999999998,0.06543214895128205
19.5365,18.21826,17.645220000000005,17.338070000000002,17.11447,0.07953866721428572
19.11804,18.04995,17.43017,17.061770000000006,16.83606,0.09077664857444004
20.24288,18.16171,17.02618,16.56425,16.20864,0.1532984896875
17.94776,16.44783,15.75335,15.36832,15.08884,0.04798545416666666
18.22668,16.95597,16.62059,16.3721,16.179679999999998,0.04373876
18.58451,17.42737,16.89741,16.581979999999998,16.37131,0.057849421428571426
19.54329,17.52127,16.47205,16.03888,15.669620000000002,0.09788414570707071
18.28974,16.76994,16.10378,15.76202,15.55498,0.05958322523333333
18.66453,17.42393,16.94676,16.606189999999998,16.45092,0.0536950443452381
19.95781,18.25558,17.48539,17.11926,16.85318,0.08087510777777777
20.57999,18.47598,17.36956,16.91271,16.54014,0.15425785873015874
19.90408,18.42724,17.67933,17.316879999999998,17.056820000000002,0.11927621118681317
20.19501,18.2661,17.3522,16.94415,16.60258,0.09939167054700856
16.74051,14.95811,14.158829999999998,13.76954,13.54142,0.027054544000000003
19.55814,17.58734,16.66687,16.2273,15.90935,0.11059471675324677
20.05618,18.25275,17.36965,16.90154,16.54358,0.12402723215811966
19.60442,18.21461,17.44011,17.022660000000002,16.77433,0.12503405916666666
19.23708,18.0091,17.20243,16.82026,16.55038,0.13170007244976473
18.92143,17.75646,17.25927,16.96886,16.74695,0.06493794644444445
20.61788,18.56745,17.462239999999998,17.0161,16.5811,0.1517004725
19.24633,17.26227,16.36272,15.95336,15.61193,0.09047268661507937
19.95059,18.17248,17.230629999999998,16.809060000000002,16.5091,0.1078169387234477
19.57495,18.24378,17.53686,17.076529999999998,16.80325,0.11869693666666666
20.55576,18.53313,17.37629,16.92616,16.53755,0.157745325
19.61989,17.74941,16.86188,16.46818,16.12878,0.09955916088253967
19.33312,18.13547,17.55842,17.21634,17.02604,0.08949359504761907
20.3843,18.54354,17.405520000000006,16.939429999999998,16.60484,0.14765346083333333
19.58088,18.07849,17.28295,16.85128,16.56679,0.10982085665746491
20.95221,18.64669,17.48413,17.01347,16.66104,0.16148357142857145
19.01155,17.08524,16.27855,15.91067,15.589720000000002,0.07707772970525031
20.13005,18.36588,17.335079999999998,16.825960000000002,16.353279999999998,0.1379557016025641
20.33832,18.65023,17.77024,17.36775,17.085910000000002,0.10200747854166665
20.82754,18.78767,17.57272,17.09451,16.72634,0.17588609955627704
19.37241,17.621760000000005,16.76266,16.36346,16.06921,0.09078901498174605
20.67228,18.81269,17.567729999999994,17.073629999999998,16.71554,0.19103136416666663
18.90059,18.08895,17.74606,17.59742,17.491870000000002,0.055222620000000014
18.56591,17.34357,16.8953,16.59194,16.44441,0.05811547749999999
18.89064,17.59512,16.88976,16.52228,16.24305,0.09766432511904762
19.74187,17.963729999999995,17.07864,16.66175,16.33943,0.0867489196204201
19.58678,18.1562,17.52467,17.17975,16.94582,0.09322414791666667
19.45568,17.84665,17.08792,16.698710000000002,16.43621,0.0883805505464741
20.94204,19.18756,17.70942,17.15439,16.68538,0.2173152316666666
18.95881,17.08734,16.20737,15.76325,15.443220000000002,0.07830568970525031
19.59875,17.83952,16.87986,16.378410000000002,15.98913,0.10596887625291004
19.17712,18.06049,17.497320000000002,17.13026,16.89425,0.0875489040289855
19.99676,17.97508,16.97474,16.53014,16.145429999999998,0.1106143656904762
18.73026,17.58725,17.1469,16.81542,16.6327,0.07660126819444443
18.87795,17.38308,16.61531,16.14276,15.77188,0.0721214990873016
21.62263,19.00489,17.72508,17.434420000000006,17.01591,0.1907308842857143
19.60987,17.82515,16.90492,16.440929999999998,16.13031,0.09803232891164021
19.86673,18.18567,17.417270000000002,17.05799,16.77261,0.09154384277777779
18.20461,16.59096,15.80656,15.42365,15.11246,0.04895999166666667
18.11684,16.56514,15.739670000000002,15.292370000000002,14.97511,0.04745772416666667
20.129620000000006,18.44545,17.59198,17.09899,16.755129999999998,0.11690182655982906
19.8209,17.660510000000006,16.62154,16.18197,15.82472,0.1257156382683983
20.49701,18.75833,17.72961,17.2349,16.83434,0.13755390515151517
19.47341,17.46547,16.425910000000002,15.95952,15.57761,0.08999933822222222
19.49244,17.83323,16.89583,16.42598,16.086779999999994,0.10437807393148149
19.44953,17.82238,17.13371,16.70488,16.43259,0.08791841554647412
21.00306,19.01425,17.81685,17.32266,16.95301,0.18328053333333333
18.03148,16.12943,15.2968,14.90944,14.62648,0.053667802
20.21787,18.21895,17.127760000000002,16.661929999999998,16.28446,0.13355370254464283
20.10389,18.5861,17.74353,17.285420000000002,17.04591,0.12377755444642857
20.67866,18.47757,17.459039999999998,16.92436,16.51691,0.13823413956349206
20.65176,18.72669,17.48505,16.9755,16.59025,0.17380985440476188
19.70535,18.239420000000006,17.40956,16.98088,16.69109,0.12428348249999999
19.61455,17.6572,16.64392,16.139979999999998,15.76595,0.1233676249350649
20.84309,18.97123,17.79445,17.32882,16.94656,0.17031344166666668
19.33108,17.56802,16.65471,16.21508,15.8469,0.09124882347871574
20.51689,18.79205,17.719929999999994,17.23084,16.82836,0.15614824848484848
20.90901,19.01517,17.7544,17.25346,16.90579,0.18412770666666667
20.1201,18.41474,17.56808,17.093770000000006,16.73224,0.11345520822649573
16.51495,14.68004,13.84068,13.41985,13.09006,0.029329984000000003
20.2442,18.54631,17.71285,17.32894,17.01848,0.10616532484935896
20.64693,18.85924,17.88806,17.32035,16.91065,0.14758784833333333
18.50924,17.32571,16.77444,16.433529999999998,16.19321,0.07188584464285715
20.687620000000006,18.69042,17.54831,17.0437,16.70315,0.1679898725
18.78617,17.70465,17.31079,17.112460000000002,16.92673,0.04873347333333333
20.98468,19.00677,17.678539999999995,17.14769,16.751260000000002,0.20239818666666665
19.18487,17.60098,16.72928,16.26665,15.89405,0.08923642197871574
20.4821,18.4145,17.23339,16.71624,16.32266,0.14601540166666666
19.35304,17.872510000000005,17.19807,16.83035,16.58211,0.09155329691852801
19.35561,18.20332,17.67729,17.36187,17.13304,0.09087641471428573
19.75838,17.70854,16.63459,16.107870000000002,15.71609,0.1288505916017316
20.74209,18.72611,17.6865,17.21128,16.82924,0.13356329047619048
19.2217,18.06295,17.69578,17.46941,17.38278,0.06610495333333334
18.97236,17.89425,17.5362,17.27085,17.18093,0.072426673
20.82133,18.85485,17.71341,17.27009,16.91239,0.168341525
18.503120000000006,16.87881,15.94719,15.46375,15.13734,0.0589889104
19.33486,17.675420000000006,16.89369,16.48659,16.16619,0.08326069463614719
19.86141,18.63847,17.65233,17.23443,16.929370000000002,0.1542253652124542
17.255979999999994,15.34355,14.46744,14.04882,13.71744,0.039094785
19.24054,17.35766,16.36876,15.90759,15.52483,0.08635441061507936
19.20624,17.44996,16.64347,16.22953,15.93859,0.07948747311507938
20.8754,18.79377,17.472579999999994,16.95316,16.62821,0.1858361891666666
20.33391,18.64196,17.7054,17.31525,16.99311,0.11709766199221612
19.53719,18.061020000000006,17.3438,16.93732,16.59269,0.07940136630032207
19.21019,18.10165,17.5407,17.17918,16.99156,0.10644501088612837
20.66269,18.94913,17.293779999999998,16.694010000000002,16.30351,0.21907449333333334
19.30663,17.39883,16.53238,16.118170000000006,15.815920000000002,0.08288667211507936
21.45173,19.18763,18.01925,17.53858,17.11303,0.1794068
19.89418,18.33508,17.62676,17.259420000000002,17.027929999999998,0.10169452414718613
20.79109,18.97979,17.73234,17.2041,16.81429,0.16248552333333333
19.74969,17.771910000000005,16.77918,16.30558,15.94104,0.1030980479195767
18.6911,17.54543,17.121229999999994,16.8558,16.68102,0.05971208374999999
18.79316,16.811989999999998,15.866929999999998,15.39753,15.02125,0.07201425201111111
20.09533,18.49597,17.51418,17.07433,16.81813,0.13259188315705128
19.3199,18.1329,17.50376,17.08923,16.86252,0.10046162355279505
21.18181,18.94498,17.78862,17.245620000000002,16.88286,0.17339761666666667
20.05157,18.7542,17.91021,17.50514,17.19518,0.14293397000000002
20.27347,18.76578,17.53854,16.976,16.56344,0.1889377833333333
19.54054,17.500989999999998,16.46423,16.00618,15.59555,0.09788414570707071
20.90621,18.86424,17.644579999999994,17.09897,16.7734,0.1843498607142857
20.31271,18.18254,17.014570000000006,16.55144,16.1935,0.1590965896875
18.09078,16.64955,15.93659,15.53804,15.27883,0.048534605833333334
19.44355,18.09311,17.386029999999998,17.01045,16.76691,0.10471291473527196
20.58963,18.67502,17.75086,17.32862,16.99693,0.11753617416666669
21.11161,19.05379,17.63812,17.09649,16.71943,0.22190998
20.59583,18.81058,17.74519,17.25911,16.89783,0.14616165515151514
19.38921,17.54233,16.666629999999998,16.17884,15.81613,0.08321695347871574
19.73282,18.19951,17.274729999999998,16.8008,16.45704,0.1293011720238095
20.24951,18.45148,17.53714,17.11854,16.807270000000006,0.10654649570512822
20.69504,18.72737,17.69453,17.22781,16.821579999999994,0.1383112738095238
19.21247,18.0579,17.4274,17.0599,16.84374,0.09677845539262186
19.10467,17.200229999999998,16.22186,15.813070000000002,15.47886,0.0808434162777778
20.23113,18.24438,17.270129999999998,16.82345,16.48525,0.11715355538156735
19.13215,17.18261,16.08934,15.63664,15.29217,0.077662961
19.26184,17.837139999999994,17.04448,16.63,16.30685,0.09279118093800849
17.60112,15.96491,15.21676,14.81394,14.504920000000002,0.04521923708333333
21.61539,18.63251,17.57253,17.19344,16.6822,0.14562092667277166
20.4831,18.40095,17.402479999999994,16.96787,16.579279999999994,0.11527858477777778
18.12814,16.82386,16.239810000000002,15.92712,15.71191,0.049302040000000005
20.22004,17.98894,16.83191,16.35079,15.98099,0.14374329134920633
18.72656,17.71161,17.312079999999998,16.90954,16.717589999999998,0.06525622444444443
20.20866,18.455070000000006,17.588829999999998,17.1657,16.825670000000002,0.11661225464102565
18.13133,16.66191,15.8558,15.45179,15.17294,0.056586211666666664
19.67124,17.744870000000006,16.81719,16.38809,15.999020000000002,0.09273679743809524
18.29859,16.84864,16.13811,15.74096,15.49594,0.06618381523333335
20.64154,18.76593,17.73578,17.30084,16.900879999999994,0.12802578015151517
19.08208,17.154729999999994,16.19555,15.77251,15.38393,0.08619539217777779
18.2288,16.21622,15.37125,14.92138,14.64013,0.06241031133333332
19.23742,18.011129999999994,17.3642,17.04022,16.77838,0.08949557959262187
21.22445,19.38367,17.88881,17.29564,16.90961,0.2222968
19.62646,17.61381,16.677970000000002,16.23292,15.88153,0.11582422493506495
20.15331,18.40655,17.3315,16.86148,16.470879999999998,0.13135263860256413
20.78348,18.4699,17.53783,17.0954,16.75538,0.11308870264957264
20.17275,18.11537,17.123829999999998,16.60835,16.238310000000002,0.11782094522916667
21.3475,19.09864,17.664089999999995,17.11151,16.749229999999994,0.22864643
19.83477,18.4947,17.8593,17.42634,17.206879999999998,0.08452407066666665
20.36696,18.35656,17.323729999999998,16.781979999999994,16.325129999999998,0.12784112912339743
19.44364,17.95182,17.07378,16.64507,16.299329999999998,0.1087724842398938
19.18405,17.8499,17.14347,16.74406,16.45508,0.10666630348620476
19.47017,18.04218,17.27636,16.8149,16.51276,0.10583514405311709
18.54651,16.997529999999998,16.27993,15.82317,15.484470000000002,0.0651275679
20.38617,18.50086,17.57922,17.117079999999998,16.74595,0.10719651008012823
19.78613,18.47175,17.88079,17.54472,17.3,0.06530591633333332
18.40531,16.775560000000002,15.927029999999998,15.45534,15.14688,0.0606814909
18.33653,16.95434,16.41395,16.11969,16.04341,0.05665218423333333
19.80088,18.61055,17.86669,17.49586,17.21856,0.10727549666666665
21.15633,19.09205,17.61893,17.06796,16.69206,0.22915828
18.75274,17.107770000000002,16.23997,15.74715,15.40306,0.08462740728461537
20.00411,18.25054,17.06931,16.58034,16.24493,0.16225547302083337
19.45155,17.84165,17.0104,16.53152,16.182679999999998,0.08967524057425189
21.02952,18.54383,17.53201,17.031010000000002,16.71414,0.14121276737179483
19.98962,18.23887,17.38469,16.921770000000002,16.61797,0.10648746965811964
16.14821,14.73162,14.03915,13.64454,13.35743,0.025911034
20.05365,18.76928,17.81855,17.34405,17.02166,0.16812493499999998
20.4445,18.81604,17.56975,17.085720000000002,16.7152,0.19390515265151512
19.79795,17.63674,16.84161,16.395870000000002,15.99151,0.08942382477142857
19.96164,18.05044,17.11124,16.58209,16.1591,0.11486487897321429
20.06374,18.64052,17.413339999999998,16.87419,16.47233,0.15043332999999998
19.9316,18.55849,17.74009,17.29672,16.97792,0.12990779590476192
17.32599,15.29915,14.30365,13.83097,13.47261,0.0435768
20.65943,18.72459,17.7465,17.32474,16.958820000000006,0.12311148666666667
19.94506,18.11416,16.97038,16.40474,15.97829,0.13787022459259257
20.63491,19.32363,18.06351,17.49275,17.10492,0.1392769
20.21834,18.66197,17.537129999999998,16.99674,16.632279999999998,0.16394511873626375
20.39535,19.0323,17.89227,17.34058,17.04649,0.14885578428571428
20.71988,18.62913,17.4836,17.01435,16.61664,0.16194034142857144
18.49733,17.34534,16.98665,16.75275,16.70508,0.045851022500000005
18.64693,17.28504,16.66968,16.28589,16.03115,0.08011826657142856
23.1965,21.39062,20.04524,20.23146,19.06655,0.19261402
20.84892,18.76967,17.75477,17.3158,16.978289999999998,0.13049014166666667
18.63983,17.71,17.26501,16.96116,16.81841,0.061535754444444445
18.87643,17.14368,16.26578,15.85624,15.558279999999998,0.07687822637191698
19.0224,17.11465,16.205170000000006,15.80875,15.4927,0.08536172256239316
20.30431,18.52069,17.58064,17.1321,16.86557,0.1044767507467949
20.40558,18.68103,17.85511,17.52175,17.237370000000002,0.11801157166666665
17.9757,16.24251,15.45194,15.05948,14.76495,0.054247480333333334
18.03094,16.823970000000006,16.34461,16.09453,15.91385,0.04913356
18.54556,17.00999,16.29244,15.911220000000002,15.604220000000002,0.06445016540000001
19.56141,17.706889999999994,16.89859,16.5445,16.27681,0.08934793029430439
19.79897,18.1448,17.276970000000002,16.773629999999994,16.42785,0.1099818222800926
16.959570000000006,15.59975,15.16637,14.95283,14.898320000000002,0.035577405416666666
20.81922,18.9328,17.490170000000006,16.93644,16.63351,0.22344987250000004
20.08367,18.30402,17.4339,17.056079999999998,16.76944,0.09145534694444443
19.28784,18.32993,17.84328,17.48551,17.371660000000002,0.08428818499999999
17.521060000000002,15.94459,15.26176,14.897470000000002,14.69496,0.04941542708333333
18.62055,17.29226,16.64891,16.28254,16.05217,0.08608415407142858
19.44486,17.9895,17.57068,17.30575,17.224239999999998,0.077506442
19.56524,18.43922,17.57266,17.12611,16.87908,0.1509765423076923
18.889470000000006,17.493170000000006,16.92829,16.64268,16.46235,0.06889143630952381
17.74994,16.69774,16.422710000000002,16.2733,16.17761,0.04042089
19.45495,17.6763,16.822110000000002,16.4195,16.09468,0.08619116191464647
18.59995,16.71636,15.79391,15.33639,14.99861,0.062096804233333344
20.30728,18.61515,17.58517,17.1291,16.84978,0.1279080962706044
19.58812,18.41308,17.6232,17.17847,16.815179999999998,0.12111337833333333
19.81025,18.51438,17.48198,16.93831,16.56666,0.169100095
19.03199,17.83894,17.259420000000002,16.97039,16.7194,0.08223218764009663
20.87846,18.92733,17.60889,17.099339999999998,16.6757,0.1910041382142857
18.98323,17.82311,17.38573,17.113570000000006,16.88637,0.07111952769565216
18.93294,17.76008,17.04174,16.6246,16.38229,0.08802958063636364
20.21673,18.33681,17.315,16.84305,16.48724,0.11953931273450855
19.27044,17.992910000000006,17.226679999999998,16.844160000000002,16.56261,0.11489603959262187
21.18684,19.10738,17.66902,17.1236,16.73386,0.22130687999999998
21.25741,18.89953,17.52005,16.98937,16.633,0.20137064333333338
18.92937,17.69761,16.97327,16.60975,16.3396,0.08715887363636363
19.64424,17.504170000000002,16.32442,15.853320000000002,15.47606,0.12859396333333334
19.69683,18.06341,17.23392,16.761570000000006,16.4658,0.11695700132413159
21.09125,18.80035,17.60527,17.14198,16.802529999999994,0.18210562515151515
19.59484,18.22985,17.434,17.04627,16.78148,0.12765040666666666
19.04386,17.01526,16.06948,15.6316,15.32944,0.06956913256239315
17.77188,16.62769,16.19355,15.91112,15.71404,0.04096498
20.89109,18.46967,17.20872,16.72569,16.34681,0.1628955516666667
20.39461,18.43513,17.52825,17.12142,16.790789999999998,0.10554259397435899
20.70038,18.71223,17.71856,17.29936,16.98323,0.11653739666666667
18.62149,17.32956,16.7822,16.45177,16.22465,0.07548616407142858
18.94757,17.68773,17.12999,16.86047,16.7183,0.05428680977777779
18.87298,17.69631,17.28562,17.02832,16.87172,0.054305503333333324
19.1883,18.1137,17.83437,17.66224,17.74471,0.054455750000000004
18.28932,16.87189,16.17304,15.79471,15.55693,0.06618381523333335
19.30176,18.10175,17.586679999999998,17.29743,17.1849,0.08140252685714286
20.31883,18.20013,17.18131,16.77318,16.40108,0.12282953885836834
18.54414,17.65321,17.45348,17.252470000000002,17.15438,0.04714485
19.25714,17.797179999999994,16.97061,16.545289999999998,16.31515,0.09819651816023071
17.93786,16.54554,15.86971,15.442479999999998,15.18949,0.051254886666666666
20.31328,18.14727,16.85572,16.36182,16.01529,0.17035975277777776
19.68423,17.93233,17.10566,16.73836,16.44258,0.09588937514086524
19.2135,17.44519,16.63916,16.267120000000002,15.9764,0.07948747311507938
20.74471,18.87519,17.67221,17.18071,16.847620000000006,0.18919137738095237
19.66988,18.46437,17.726589999999995,17.35257,17.127010000000002,0.121035479
19.26262,17.81735,16.94689,16.51649,16.167479999999998,0.09981655593800849
19.62844,17.70895,16.9435,16.536360000000002,16.262610000000002,0.09178012529430438
19.14834,18.06492,17.58352,17.25115,17.076420000000002,0.0876141821904762
18.98965,17.75999,17.18652,16.84929,16.64335,0.06469919918954249
19.88384,18.12225,17.1709,16.71486,16.34808,0.10682794869615539
20.03204,18.56422,17.850920000000006,17.42075,17.227120000000006,0.10993402033333335
20.67753,18.95808,17.80435,17.24428,16.88435,0.15870602333333333
20.3545,18.78267,17.84941,17.4282,17.05089,0.14084764928571428
17.9085,16.50038,15.76931,15.37518,15.07956,0.05309287916666666
20.07043,18.1584,17.153660000000002,16.710379999999994,16.42521,0.12754952598733657
19.18534,18.02554,17.57249,17.29786,17.128989999999998,0.0913643421904762
19.60143,17.88897,17.008129999999998,16.577379999999998,16.27159,0.09274330249007158
19.6242,17.84921,16.858810000000002,16.35353,15.989120000000002,0.10628506236402116
20.08873,18.17356,17.10824,16.65778,16.2729,0.12474903135416664
19.97801,18.3807,17.76386,17.38102,17.2121,0.07258790333333334
20.04839,18.50443,17.692610000000005,17.31174,17.06837,0.11283601175412088
18.75845,16.681639999999998,15.71146,15.25035,14.9102,0.0800088520111111
20.18856,18.79291,17.80505,17.351570000000002,17.05105,0.1439339492857143
20.46871,18.69309,17.69205,17.2954,16.98571,0.12609216380952382
19.28599,18.12194,17.48844,17.07589,16.803829999999998,0.10397553688612837
17.57317,16.10772,15.54476,15.21338,15.02131,0.041001887083333334
18.24963,17.119,16.474320000000002,16.06476,15.78827,0.05170503
20.36086,18.25844,17.10503,16.60705,16.22079,0.14228192921130953
20.09726,18.53762,17.88025,17.5566,17.36086,0.07957606966666667
19.46126,17.583879999999994,16.686970000000002,16.25038,15.92508,0.09649318398737375
19.67218,18.46485,17.81559,17.3854,17.11184,0.12241728733333335
19.71222,18.33545,17.61478,17.2173,16.88485,0.10008276649242424
19.79828,18.47026,17.758020000000005,17.32846,17.05621,0.10817006290476192
20.47503,18.57915,17.35504,16.88778,16.56071,0.17069306666666667
18.66146,17.47565,16.843329999999998,16.44699,16.24354,0.08356909714285714
20.08722,18.43863,17.52299,17.03347,16.6548,0.12441739822649574
20.56381,18.40769,17.27082,16.81345,16.457420000000006,0.13097244276923076
20.39381,18.7143,17.63628,17.12491,16.76461,0.17199350238095237
19.40395,18.18443,17.55559,17.21634,16.999979999999994,0.10161863290993789
20.28305,18.59871,17.67096,17.24376,17.00937,0.1258971903731685
20.83974,18.7115,17.52459,17.05858,16.70082,0.16868195107142855
20.10986,18.08622,17.01829,16.556079999999998,16.20982,0.13296960097321425
20.47673,18.941,17.732779999999995,17.2452,16.902060000000002,0.16827752333333335
20.92816,18.8785,17.62953,17.155170000000002,16.83868,0.18807220821428572
19.41644,18.27863,17.70307,17.28959,17.111639999999998,0.11487937485714286
19.82318,18.25813,17.32682,16.88,16.557479999999998,0.11909484663194443
18.98452,17.666970000000006,17.029529999999998,16.67021,16.415429999999994,0.068920022
19.19182,17.70741,16.90183,16.511589999999998,16.188860000000002,0.09390784913579067
19.57121,17.73803,16.72488,16.28186,15.96036,0.10955822008658009
19.62037,17.819470000000006,16.81704,16.325110000000002,15.97328,0.10289833958624336
20.46109,18.32956,17.28514,16.7929,16.38782,0.12559059356784188
17.97379,15.98768,15.100929999999998,14.698670000000002,14.38552,0.06109027749999999
20.65982,18.48889,17.37795,16.95252,16.67057,0.14658421206349206
20.45424,18.62276,17.62848,17.16425,16.82414,0.13142079308608057
19.4263,18.34337,17.68844,17.27519,17.097939999999998,0.13736949366666668
18.71805,17.24073,16.57443,16.20755,15.944770000000002,0.07259993157142856
19.65734,18.042,17.18496,16.7773,16.45486,0.11160245439913156
20.61372,18.58047,17.56387,17.1206,16.77075,0.1344652768956044
18.41749,16.55471,15.73954,15.34165,15.039,0.05899736423333333
20.67118,18.65786,17.3735,16.88021,16.48836,0.17368478190476191
18.69707,17.20104,16.3674,15.96966,15.649170000000002,0.08019366831318682
19.792720000000006,17.80754,16.77736,16.33507,15.9444,0.09827282903068782
19.75397,17.647679999999994,16.69906,16.215329999999998,15.82509,0.11451133826839825
19.32759,17.281470000000002,16.38131,15.95881,15.60616,0.09193027161507937
20.01177,18.75682,17.68905,17.31479,16.95441,0.17841045833333333
20.89591,18.63808,17.42472,16.97384,16.67846,0.15506840476190478
19.69047,18.39518,17.71675,17.23861,16.97608,0.11861330900000003
19.81695,17.88786,17.00639,16.59289,16.28282,0.09080189582340491
20.93888,18.7026,17.642039999999994,17.32273,16.83641,0.13483828047619048
20.82401,18.69303,17.58344,17.120639999999998,16.79,0.16557713043650796
21.21574,18.60432,17.19675,16.66496,16.333679999999998,0.19186877
20.32637,18.38432,17.45436,17.034860000000002,16.742729999999998,0.10717827485353534
20.9356,18.83142,17.49781,16.948420000000002,16.6068,0.19597552249999997
18.97869,17.14655,16.35993,15.96905,15.64163,0.07903153234161393
18.52272,16.82884,16.111539999999998,15.75299,15.48949,0.05701218290000001
20.65758,18.50349,17.21248,16.71104,16.34765,0.174619625
19.7493,18.25449,17.474829999999994,17.08175,16.751379999999994,0.10838182833333335
18.34229,17.15972,16.64058,16.30881,16.14249,0.06442571673333333
19.82375,17.90935,16.85066,16.35996,16.06167,0.11276061736402117
18.68338,17.158479999999994,16.32613,15.90244,15.59429,0.0717848437131868
20.21097,18.79415,17.92213,17.43883,17.07574,0.1409644292857143
20.31452,18.34999,17.25713,16.77682,16.429560000000002,0.12887977142498472
17.36385,16.223860000000002,15.73074,15.47031,15.29827,0.03557175125
20.24525,18.58239,17.42853,16.93769,16.66248,0.16364065249999998
18.80273,16.758770000000002,15.76378,15.33763,14.96595,0.08131265867777777
18.65571,16.9315,16.122220000000002,15.74337,15.4689,0.06409393645128206
19.42779,17.84766,16.94659,16.50694,16.19605,0.09781107992610374
16.89537,15.2407,14.49528,14.10611,13.79491,0.03098265
20.28813,18.56802,17.489,17.00606,16.66165,0.15489311506410255
19.30415,17.52444,16.66241,16.273320000000002,15.972,0.0770563301453824
20.71089,18.75646,17.61351,17.13736,16.78664,0.1670692328896104
19.08695,17.89131,17.3849,17.037860000000002,16.83217,0.07157090557444004
19.59588,17.99619,17.23265,16.77358,16.4788,0.09952175519079826
20.64426,18.66106,17.63879,17.19452,16.84447,0.13483992774420023
19.1485,18.02623,17.330270000000002,16.97448,16.7255,0.09305311877140975
18.77582,17.16199,16.30958,15.9181,15.58755,0.08624258266239318
19.32965,18.02258,17.25988,16.86717,16.54741,0.11513499328309804
19.06915,17.56012,16.749470000000002,16.32072,15.978270000000002,0.10020096621753247
18.53848,17.55149,17.22215,16.99341,16.91883,0.050683316666666665
20.98103,18.56503,17.43522,17.02024,16.73907,0.15363443583333333
19.61958,18.18095,17.351129999999998,16.939529999999998,16.69633,0.12503405916666666
19.86194,18.28669,17.35775,16.87781,16.50029,0.11569697802083331
19.38681,17.78656,16.99213,16.54245,16.21423,0.09568811885467517
18.87305,17.63607,17.131220000000006,16.81394,16.6392,0.07132779944444445
20.94652,18.82417,17.61409,17.136329999999994,16.76513,0.17918395431818182
20.78914,18.57717,17.45083,16.97484,16.582929999999998,0.1595540725
18.44114,16.48404,15.60847,15.19263,14.859379999999998,0.0626639209
